Club,Population,League,Stadium,Link
Fleetwood Town F.C.,88144,EFL League One,Highbury Stadium,http://www.wikidata.org/entity/Q48941
Wrexham A.F.C.,306549,EFL Championship,Racecourse Ground,http://www.wikidata.org/entity/Q18529
Everton F.C.,113913,Premier League,Hill Dickinson Stadium,http://www.wikidata.org/entity/Q5794
Dundee United F.C.,239671,Scottish Premiership,Tannadice Park,http://www.wikidata.org/entity/Q192873
Liverpool F.C.,691531,Premier League,Anfield,http://www.wikidata.org/entity/Q1130849
Newport County A.F.C.,433917,EFL League Two,Rodney Parade,http://www.wikidata.org/entity/Q18523
Chester F.C.,332847,National League North,Deva Stadium,http://www.wikidata.org/entity/Q2041933
Bristol City F.C.,302535,EFL Championship,Ashton Gate Stadium,http://www.wikidata.org/entity/Q19456
Shrewsbury Town F.C.,219814,EFL League Two,New Meadow,http://www.wikidata.org/entity/Q19626
Preston North End F.C.,313246,EFL Championship,Deepdale,http://www.wikidata.org/entity/Q19612
Morecambe F.C.,205224,National League,Globe Arena,http://www.wikidata.org/entity/Q48944
Oldham Athletic A.F.C.,258364,EFL League Two,Boundary Park,http://www.wikidata.org/entity/Q19601
FC Halifax Town,164247,National League,The Shay,http://www.wikidata.org/entity/Q5214935
Crewe Alexandra F.C.,257107,EFL League Two,Alexandra Stadium,http://www.wikidata.org/entity/Q19587
Newcastle United F.C.,726180,Premier League,St James’ Park,http://www.wikidata.org/entity/Q18716
Accrington Stanley F.C.,146557,EFL League Two,Crown Ground,http://www.wikidata.org/entity/Q48843
Wigan Athletic F.C.,473657,EFL League One,The Brick Community Stadium,http://www.wikidata.org/entity/Q18750
Altrincham F.C.,354981,National League North,Moss Lane,http://www.wikidata.org/entity/Q18660
Bolton Wanderers F.C.,415937,EFL League One,Toughsheet Community Stadium,http://www.wikidata.org/entity/Q19451
Blackburn Rovers F.C.,173993,EFL Championship,Ewood Park,http://www.wikidata.org/entity/Q19446
Bath City F.C.,411278,National League South,Twerton Park,http://www.wikidata.org/entity/Q368500
Dorchester Town F.C.,115848,National League South,The Avenue Stadium,http://www.wikidata.org/entity/Q2975925
AFC Telford United,234559,National League North,SEAH Stadium,http://www.wikidata.org/entity/Q18505
Bristol Rovers F.C.,501660,EFL League Two,Memorial Stadium,http://www.wikidata.org/entity/Q48925
Kidderminster Harriers F.C.,469475,National League North,Aggborough,http://www.wikidata.org/entity/Q18518
Gloucester City A.F.C.,344739,National League North,Meadow Park,http://www.wikidata.org/entity/Q4140000
Burnley F.C.,215226,Premier League,Turf Moor,http://www.wikidata.org/entity/Q19458
AFC Bournemouth,401746,Premier League,Dean Court,http://www.wikidata.org/entity/Q19568
Rochdale A.F.C.,242478,National League,Spotland Stadium,http://www.wikidata.org/entity/Q48949
Forest Green Rovers F.C.,160221,National League,The New Lawn,http://www.wikidata.org/entity/Q18512
Port Vale F.C.,275947,EFL League One,Vale Park,http://www.wikidata.org/entity/Q48948
Salisbury City F.C.,197578,National League South,Raymond McEnhill Stadium,http://www.wikidata.org/entity/Q2118564
Bradford City A.F.C.,434682,EFL League One,Valley Parade,http://www.wikidata.org/entity/Q48879
Manchester United F.C.,304705,Premier League,Old Trafford,http://www.wikidata.org/entity/Q18656
Stoke City F.C.,274100,EFL Championship,Britannia Stadium,http://www.wikidata.org/entity/Q18736
Salford City F.C.,333348,EFL League Two,Moor Lane,http://www.wikidata.org/entity/Q18460
Manchester City F.C.,205199,Premier League,Etihad Stadium,http://www.wikidata.org/entity/Q50602
Cheltenham Town F.C.,286134,EFL League Two,Whaddon Road,http://www.wikidata.org/entity/Q48932
Stockport County F.C.,453738,EFL League Two,Edgeley Park,http://www.wikidata.org/entity/Q18526
Wolverhampton Wanderers F.C.,481662,Premier League,Molineux Stadium,http://www.wikidata.org/entity/Q19500
Stalybridge Celtic F.C.,166875,National League North,Bower Fold,http://www.wikidata.org/entity/Q1849964
Droylsden F.C.,136852,National League North,Butcher's Arms Ground,http://www.wikidata.org/entity/Q661543
Sheffield United F.C.,308842,EFL Championship,Bramall Lane,http://www.wikidata.org/entity/Q19607
Derby County F.C.,390050,EFL Championship,Pride Park Stadium,http://www.wikidata.org/entity/Q19470
Burton Albion F.C.,202608,EFL Championship,Pirelli Stadium,http://www.wikidata.org/entity/Q48929
Norwich City F.C.,771930,EFL Championship,Carrow Road,http://www.wikidata.org/entity/Q18721
Swindon Town F.C.,294527,EFL League Two,"County Ground, Swindon",http://www.wikidata.org/entity/Q19634
West Bromwich Albion F.C.,429584,EFL Championship,The Hawthorns,http://www.wikidata.org/entity/Q18744
Walsall F.C.,394123,EFL League Two,Bescot Stadium,http://www.wikidata.org/entity/Q19644
Aston Villa F.C.,287092,Premier League,Villa Park,http://www.wikidata.org/entity/Q18711
Tamworth F.C.,189320,National League,The Lamb Ground,http://www.wikidata.org/entity/Q18527
Birmingham City F.C.,500550,EFL Championship,St Andrew's,http://www.wikidata.org/entity/Q19444
Huddersfield Town A.F.C.,310521,EFL League One,Kirklees Stadium,http://www.wikidata.org/entity/Q19473
Solihull Moors F.C.,365906,National League,Damson Park,http://www.wikidata.org/entity/Q2975959
Harrogate Town A.F.C.,193614,EFL League Two,Wetherby Road,http://www.wikidata.org/entity/Q2219286
Southampton F.C.,298529,EFL Championship,St Mary's Stadium,http://www.wikidata.org/entity/Q18732
Coventry City F.C.,715409,EFL Championship,Ricoh Arena,http://www.wikidata.org/entity/Q19580
Bradford (Park Avenue) A.F.C.,197937,National League North,Park Avenue,http://www.wikidata.org/entity/Q896965
Leeds United F.C.,874716,Premier League,Elland Road,http://www.wikidata.org/entity/Q1128631
Darlington F.C.,354357,National League,The Darlington Arena,http://www.wikidata.org/entity/Q909189
Leicester City F.C.,816059,EFL Championship,Leicester City Stadium,http://www.wikidata.org/entity/Q19481
Sheffield Wednesday F.C.,197508,EFL Championship,Hillsborough Stadium,http://www.wikidata.org/entity/Q19498
Oxford United F.C.,439742,EFL Championship,Kassam Stadium,http://www.wikidata.org/entity/Q48946
Sunderland A.F.C.,406938,Premier League,Stadium of Light,http://www.wikidata.org/entity/Q18739
Gateshead F.C.,485453,National League,Gateshead International Stadium,http://www.wikidata.org/entity/Q18513
Barnsley F.C.,354838,EFL League One,Oakwell,http://www.wikidata.org/entity/Q19442
Chesterfield F.C.,196988,EFL League Two,Proact Stadium,http://www.wikidata.org/entity/Q48935
Rotherham United F.C.,274612,EFL League One,New York Stadium,http://www.wikidata.org/entity/Q48950
Doncaster Rovers F.C.,301075,EFL League One,Keepmoat Stadium,http://www.wikidata.org/entity/Q19589
Alfreton Town F.C.,196085,National League North,North Street,http://www.wikidata.org/entity/Q18506
Eastleigh F.C.,228012,National League South,Ten Acres,http://www.wikidata.org/entity/Q2303493
Middlesbrough F.C.,421772,EFL Championship,Riverside Stadium,http://www.wikidata.org/entity/Q18661
Reading F.C.,595043,EFL League One,Madejski Stadium,http://www.wikidata.org/entity/Q18729
Hartlepool United F.C.,165981,EFL League Two,Victoria Park,http://www.wikidata.org/entity/Q19592
Mansfield Town F.C.,274788,EFL League Two,Field Mill,http://www.wikidata.org/entity/Q18522
Northampton Town F.C.,406512,EFL League One,Sixfields Stadium,http://www.wikidata.org/entity/Q48945
Notts County F.C.,443216,EFL League Two,Meadow Lane,http://www.wikidata.org/entity/Q19598
York City F.C.,311758,National League,York Community Stadium,http://www.wikidata.org/entity/Q48954
Scarborough Athletic F.C.,145388,National League North,Flamingo Land Stadium,http://www.wikidata.org/entity/Q7430259
Nottingham Forest F.C.,225152,Premier League,City Ground,http://www.wikidata.org/entity/Q19490
Lincoln City F.C.,294671,EFL League One,Sincil Bank,http://www.wikidata.org/entity/Q18519
Gainsborough Trinity F.C.,71966,National League North,The Northolme,http://www.wikidata.org/entity/Q1491327
Scunthorpe United F.C.,156117,EFL League One,Glanford Park,http://www.wikidata.org/entity/Q19615
Aldershot Town F.C.,438167,National League,Recreation Ground,http://www.wikidata.org/entity/Q48862
Peterborough United F.C.,473527,EFL League One,London Road Stadium,http://www.wikidata.org/entity/Q19495
Rushden & Diamonds F.C.,379486,National League,Nene Park,http://www.wikidata.org/entity/Q1138515
Wycombe Wanderers F.C.,274019,EFL League One,Adams Park,http://www.wikidata.org/entity/Q48953
Milton Keynes Dons F.C.,448391,EFL League Two,Stadium MK,http://www.wikidata.org/entity/Q248188
Crawley Town F.C.,401206,EFL League Two,The Peoples Pension Stadium,http://www.wikidata.org/entity/Q19584
Maidenhead United F.C.,301859,National League South,York Road,http://www.wikidata.org/entity/Q1131109
Woking F.C.,285472,National League,Kingfield Stadium,http://www.wikidata.org/entity/Q18528
Watford F.C.,371930,EFL Championship,Vicarage Road,http://www.wikidata.org/entity/Q2714
Hull City A.F.C.,422470,EFL Championship,MKM Stadium,http://www.wikidata.org/entity/Q19477
Luton Town F.C.,409640,EFL League One,Kenilworth Road,http://www.wikidata.org/entity/Q18520
Staines Town F.C.,302345,National League South,Wheatsheaf Park,http://www.wikidata.org/entity/Q2511419
Fulham F.C.,119193,Premier League,Craven Cottage,http://www.wikidata.org/entity/Q18708
Brentford F.C.,408128,Premier League,Griffin Park,http://www.wikidata.org/entity/Q19571
Grimsby Town F.C.,197649,EFL League Two,Blundell Park,http://www.wikidata.org/entity/Q18515
Stevenage F.C.,446273,EFL League Two,Broadhall Way,http://www.wikidata.org/entity/Q9426
Hayes F.C.,473985,National League South,Church Road,http://www.wikidata.org/entity/Q1140139
Sutton United F.C.,565757,National League,Gander Green Lane,http://www.wikidata.org/entity/Q2454929
Boreham Wood F.C.,222252,National League South,Meadow Park,http://www.wikidata.org/entity/Q4094837
Boston United F.C.,300975,National League North,York Street,http://www.wikidata.org/entity/Q894605
Barnet F.C.,479455,EFL League Two,The Hive Stadium,http://www.wikidata.org/entity/Q9408
Queens Park Rangers F.C.,461278,EFL Championship,Kiyan Prince Foundation Stadium,http://www.wikidata.org/entity/Q18723
Arsenal F.C.,578607,Premier League,Emirates Stadium,http://www.wikidata.org/entity/Q9617
Tottenham Hotspur F.C.,785205,Premier League,Tottenham Hotspur Stadium,http://www.wikidata.org/entity/Q18741
Chelsea F.C.,266913,Premier League,Stamford Bridge,http://www.wikidata.org/entity/Q9616
AFC Wimbledon,376722,EFL League One,Plough Lane,http://www.wikidata.org/entity/Q48851
Bromley F.C.,350924,National League South,Hayes Lane,http://www.wikidata.org/entity/Q1584552
Cambridge United F.C.,519849,EFL League Two,Abbey Stadium,http://www.wikidata.org/entity/Q18509
Crystal Palace F.C.,458687,Premier League,Selhurst Park,http://www.wikidata.org/entity/Q19467
Millwall F.C.,575362,EFL Championship,The Den,http://www.wikidata.org/entity/Q19487
Brighton & Hove Albion F.C.,564178,Premier League,Brighton Community Stadium,http://www.wikidata.org/entity/Q19453
Leyton Orient F.C.,340430,EFL League One,Brisbane Road,http://www.wikidata.org/entity/Q19595
West Ham United F.C.,355664,Premier League,London Stadium,http://www.wikidata.org/entity/Q18747
Charlton Athletic F.C.,297139,EFL Championship,The Valley,http://www.wikidata.org/entity/Q19462
Hornchurch F.C.,322856,National League South,Hornchurch Stadium,http://www.wikidata.org/entity/Q4500008
Dagenham & Redbridge F.C.,405789,National League,Victoria Road,http://www.wikidata.org/entity/Q48938
Dartford F.C.,142048,National League,Princes Park,http://www.wikidata.org/entity/Q18510
Tonbridge Angels F.C.,288474,National League South,Longmead Stadium,http://www.wikidata.org/entity/Q2564389
Welling United F.C.,274934,National League South,Park View Road,http://www.wikidata.org/entity/Q955872
Braintree Town F.C.,342843,National League,Cressing Road,http://www.wikidata.org/entity/Q18508
Ebbsfleet United F.C.,224942,National League,Stonebridge Road,http://www.wikidata.org/entity/Q18511
Southend United F.C.,425254,National League,Roots Hall,http://www.wikidata.org/entity/Q48951
Dover Athletic F.C.,499317,National League South,Crabble Athletic Ground,http://www.wikidata.org/entity/Q2658370
Gillingham F.C.,506732,EFL League Two,Priestfield Stadium,http://www.wikidata.org/entity/Q48943
Colchester United F.C.,286049,EFL League One,Colchester Community Stadium,http://www.wikidata.org/entity/Q19578
Ipswich Town F.C.,397080,EFL Championship,Portman Road,http://www.wikidata.org/entity/Q9653
